seed,family_percentage,leak,pheno,r
1,0.5,False,age,0.2040598256392191
1,0.5,True,attn,0.12313067683221203
1,0.5,False,attn,0.1467852203250917
1,0.5,True,mr,0.20222987535950795
1,0.5,False,mr,0.19453611584101627
1,0.4,True,age,0.20654299374263133
1,0.4,False,age,0.2206413806928929
1,0.4,True,attn,0.122745714194615
1,0.4,False,attn,0.1347940085352764
1,0.4,True,mr,0.216701452963114
1,0.4,False,mr,0.22659937482822734
1,0.3,True,age,0.24330227503862825
1,0.3,False,age,0.24529501583136992
1,0.3,True,attn,0.1277790500243723
1,0.3,False,attn,0.12070337158567893
1,0.3,True,mr,0.23616088815852732
1,0.3,False,mr,0.23922113596437908
2,1.0,True,age,0.24254548677634266
2,1.0,False,age,0.24737719412838627
2,1.0,True,attn,0.05257265805596792
2,1.0,False,attn,0.04219072900603793
2,1.0,True,mr,0.1657956585439906
2,1.0,False,mr,0.17709555359842463
2,0.9,True,age,0.23052568998705694
2,0.9,False,age,0.22124418346899805
2,0.9,True,attn,0.034653808462997454
2,0.9,False,attn,0.055498560477309465
2,0.9,True,mr,0.18099646975799616
2,0.9,False,mr,0.15802017297159968
2,0.8,True,age,0.176181743170907
2,0.8,False,age,0.17677164052814998
2,0.8,True,attn,0.0751860308243801
2,0.8,False,attn,0.0740609790466452
2,0.8,True,mr,0.19156656853687107
2,0.8,False,mr,0.16458059870938432
2,0.7,True,age,0.1827628570625285
2,0.7,False,age,0.17706046184996008
2,0.7,True,attn,0.08348045283660714
2,0.7,False,attn,0.08473435117626801
2,0.7,True,mr,0.1749345853855795
2,0.7,False,mr,0.16436534581445378
2,0.6,True,age,0.21193197888532186
2,0.6,False,age,0.19303228885609328
2,0.6,True,attn,0.11537479626619994
2,0.6,False,attn,0.10132098487373209
2,0.6,True,mr,0.19225714056336357
2,0.6,False,mr,0.18969911373698864
2,0.5,True,age,0.21852850386784659
2,0.5,False,age,0.20373481810658067
2,0.5,True,attn,0.13906637499034358
2,0.5,False,attn,0.1374408979319173
2,0.5,True,mr,0.20482668234543525
2,0.5,False,mr,0.21698835684150386
2,0.4,True,age,0.21932321140235103
2,0.4,False,age,0.20132257543881998
2,0.4,True,attn,0.13179552784346227
2,0.4,False,attn,0.1269409693211049
2,0.4,True,mr,0.22589195703981435
2,0.4,False,mr,0.22137762841542646
2,0.3,True,age,0.24602734312607022
2,0.3,False,age,0.23550321143482494
2,0.3,True,attn,0.12781245004298938
2,0.3,False,attn,0.12928908256926205
2,0.3,True,mr,0.23669976886670335
2,0.3,False,mr,0.24930237641491695
3,1.0,True,age,0.21869665849818606
3,1.0,False,age,0.22464382441233774
3,1.0,True,attn,0.06418344373296007
3,1.0,False,attn,0.045346854242455006
3,1.0,True,mr,0.20943106181461854
3,1.0,False,mr,0.1733479585038447
3,0.9,True,age,0.2126717673287945
3,0.9,False,age,0.22674491416885617
3,0.9,True,attn,0.03837675915708974
3,0.9,False,attn,0.045451822387608094
3,0.9,True,mr,0.18397325250543578
3,0.9,False,mr,0.16948953995361757
3,0.8,True,age,0.20305823842046913
3,0.8,False,age,0.20228937652658288
3,0.8,True,attn,0.04879803756978045
3,0.8,False,attn,0.07366071313320596
3,0.8,True,mr,0.2052913525435738
3,0.8,False,mr,0.17802674997975018
