pheno,model_type,leak_twins,seed,r
cbcl_scr_syn_anxdep_r,ridge,False,2,-0.0220893591974489
cbcl_scr_syn_anxdep_r,cpm,True,2,-0.0204844178432508
cbcl_scr_syn_anxdep_r,cpm,False,2,-0.0535114756764728
cbcl_scr_syn_anxdep_r,svr,True,2,0.0191650901153559
cbcl_scr_syn_anxdep_r,svr,False,2,-0.0453247580819793
cbcl_scr_syn_anxdep_r,rf,True,2,0.0127684101081076
cbcl_scr_syn_anxdep_r,rf,False,2,0.0050411621074757
cbcl_scr_syn_internal_r,ridge,True,2,0.0226544926049238
cbcl_scr_syn_internal_r,ridge,False,2,-0.046177790595097
cbcl_scr_syn_internal_r,cpm,True,2,0.0494071784046963
cbcl_scr_syn_internal_r,cpm,False,2,0.0199463091604045
cbcl_scr_syn_internal_r,svr,True,2,0.0255475330669883
cbcl_scr_syn_internal_r,svr,False,2,-0.0530166498170161
cbcl_scr_syn_internal_r,rf,True,2,0.0145005200202736
cbcl_scr_syn_internal_r,rf,False,2,-0.0182856015564253
cbcl_scr_syn_external_r,ridge,True,2,0.0275470390939953
cbcl_scr_syn_external_r,ridge,False,2,-0.0191871659536386
cbcl_scr_syn_external_r,cpm,True,2,0.0835072398710535
cbcl_scr_syn_external_r,cpm,False,2,0.0479492420684074
cbcl_scr_syn_external_r,svr,True,2,0.0402881469540081
cbcl_scr_syn_external_r,svr,False,2,-0.0315534015943994
cbcl_scr_syn_external_r,rf,True,2,0.0341304553855021
cbcl_scr_syn_external_r,rf,False,2,0.0045274790499754
cbcl_scr_syn_aggressive_r,ridge,True,2,0.0057781870052188
cbcl_scr_syn_aggressive_r,ridge,False,2,-0.0476507491501883
cbcl_scr_syn_aggressive_r,cpm,True,2,0.0530303835987923
cbcl_scr_syn_aggressive_r,cpm,False,2,0.0122548238318214
cbcl_scr_syn_aggressive_r,svr,True,2,0.0123386141575092
cbcl_scr_syn_aggressive_r,svr,False,2,-0.0545357795981278
cbcl_scr_syn_aggressive_r,rf,True,2,0.0625784132932287
cbcl_scr_syn_aggressive_r,rf,False,2,-0.0175926581735887
age,ridge,True,2,0.1956246548329767
age,ridge,False,2,0.1883856074088824
age,cpm,True,2,0.193587362228194
age,cpm,False,2,0.1738322417869981
age,svr,True,2,0.2361996794466951
age,svr,False,2,0.1977462558025484
age,rf,True,2,0.123599887087835
age,rf,False,2,0.0596096081502576
mr,ridge,True,2,0.1665515859888711
mr,ridge,False,2,0.1453696606539873
mr,cpm,True,2,0.1375804630683711
mr,cpm,False,2,0.1234708618105805
mr,svr,True,2,0.1694661057173146
mr,svr,False,2,0.1495346898069651
mr,rf,True,2,0.1089930949863691
mr,rf,False,2,0.0151977461555555
attn,ridge,True,2,0.0596653875427471
attn,ridge,False,2,0.0232510406878065
attn,cpm,True,2,0.0853079056993456
attn,cpm,False,2,0.0606292816365516
attn,svr,True,2,0.0791549749481464
attn,svr,False,2,0.0462077321983631
attn,rf,True,2,0.0595462259022259
attn,rf,False,2,0.0355410422696065
cbcl_scr_syn_anxdep_r,ridge,True,3,0.0235927910339615
cbcl_scr_syn_anxdep_r,ridge,False,3,-0.0183336549668786
cbcl_scr_syn_anxdep_r,cpm,True,3,-0.009858975027258
cbcl_scr_syn_anxdep_r,cpm,False,3,-0.0352755706506902
cbcl_scr_syn_anxdep_r,svr,True,3,0.0078202163870508
cbcl_scr_syn_anxdep_r,svr,False,3,-0.0329933091009816
cbcl_scr_syn_anxdep_r,rf,True,3,0.0040683023331358
cbcl_scr_syn_anxdep_r,rf,False,3,0.0263208274887531
cbcl_scr_syn_internal_r,ridge,True,3,0.0277487086723281
cbcl_scr_syn_internal_r,ridge,False,3,-0.0350909916932415
cbcl_scr_syn_internal_r,cpm,True,3,0.0556264653292892
cbcl_scr_syn_internal_r,cpm,False,3,0.0168294414562387
cbcl_scr_syn_internal_r,svr,True,3,0.0228870691955344
cbcl_scr_syn_internal_r,svr,False,3,-0.040364548574069
cbcl_scr_syn_internal_r,rf,True,3,0.0318061245264556
cbcl_scr_syn_internal_r,rf,False,3,0.0323261262255002
cbcl_scr_syn_external_r,ridge,True,3,0.005596098222014
cbcl_scr_syn_external_r,ridge,False,3,-0.0013104247332783
cbcl_scr_syn_external_r,cpm,True,3,0.0754513743467682
cbcl_scr_syn_external_r,cpm,False,3,0.0627018023367531
cbcl_scr_syn_external_r,svr,True,3,0.0191215747819898
cbcl_scr_syn_external_r,svr,False,3,-0.0046319615576353
cbcl_scr_syn_external_r,rf,True,3,0.0008099757180571
cbcl_scr_syn_external_r,rf,False,3,0.0027501389271227
cbcl_scr_syn_aggressive_r,ridge,True,3,-0.0192209885288393
cbcl_scr_syn_aggressive_r,ridge,False,3,-0.0477625826543608
cbcl_scr_syn_aggressive_r,cpm,True,3,0.0465470337972819
cbcl_scr_syn_aggressive_r,cpm,False,3,0.0274054852407164
cbcl_scr_syn_aggressive_r,svr,True,3,-0.0095227426500833
cbcl_scr_syn_aggressive_r,svr,False,3,-0.0433084671722962
cbcl_scr_syn_aggressive_r,rf,True,3,0.0796854455601744
cbcl_scr_syn_aggressive_r,rf,False,3,0.0037681092613219
age,ridge,True,3,0.1766818337550182
age,ridge,False,3,0.1643331970925297
age,cpm,True,3,0.1746388604569701
age,cpm,False,3,0.1673050689973328
age,svr,True,3,0.2185199803305002
age,svr,False,3,0.1775312133674403
age,rf,True,3,0.0759245609479011
age,rf,False,3,0.053112444652094
mr,ridge,True,3,0.1699262488772608
mr,ridge,False,3,0.1460040238213573
mr,cpm,True,3,0.1445146579151968
mr,cpm,False,3,0.1074327144308258
mr,svr,True,3,0.17989040748589
mr,svr,False,3,0.1456107055701443
mr,rf,True,3,0.096096484048503
mr,rf,False,3,0.0444707014167887
attn,ridge,True,3,0.0648067117832279
attn,ridge,False,3,0.0331229253497925
attn,cpm,True,3,0.0886767970124813
attn,cpm,False,3,0.0699024721446497
attn,svr,True,3,0.0837915626683946
attn,svr,False,3,0.0542646097777319
attn,rf,True,3,0.0588938843147727
attn,rf,False,3,0.0274588239810422
cbcl_scr_syn_anxdep_r,ridge,True,4,0.0306760786728646
cbcl_scr_syn_anxdep_r,ridge,False,4,-0.0144770138808254
cbcl_scr_syn_anxdep_r,cpm,True,4,-0.0087143590264449
cbcl_scr_syn_anxdep_r,cpm,False,4,-0.0238909522533439
cbcl_scr_syn_anxdep_r,svr,True,4,0.0105761162997109
cbcl_scr_syn_anxdep_r,svr,False,4,-0.0321038152677095
cbcl_scr_syn_anxdep_r,rf,True,4,-0.0342650087714726
cbcl_scr_syn_anxdep_r,rf,False,4,0.0214367796319615
cbcl_scr_syn_internal_r,ridge,True,4,0.008424548652981
cbcl_scr_syn_internal_r,ridge,False,4,-0.0518113571042436
cbcl_scr_syn_internal_r,cpm,True,4,0.052166838743453
cbcl_scr_syn_internal_r,cpm,False,4,0.0344715755632927
cbcl_scr_syn_internal_r,svr,True,4,0.005437734839454
cbcl_scr_syn_internal_r,svr,False,4,-0.0538168156073972
cbcl_scr_syn_internal_r,rf,True,4,0.0549087070156763
cbcl_scr_syn_internal_r,rf,False,4,0.0148637436277548
cbcl_scr_syn_external_r,ridge,True,4,0.0263778147089463
cbcl_scr_syn_external_r,ridge,False,4,0.0014367299109201
cbcl_scr_syn_external_r,cpm,True,4,0.077314371644294
cbcl_scr_syn_external_r,cpm,False,4,0.0579150963488736
cbcl_scr_syn_external_r,svr,True,4,0.0221133086550669
cbcl_scr_syn_external_r,svr,False,4,0.0096200082569392
cbcl_scr_syn_external_r,rf,True,4,0.0167292017110485
cbcl_scr_syn_external_r,rf,False,4,0.0085248404613265
cbcl_scr_syn_aggressive_r,ridge,True,4,-0.0030893443789673
cbcl_scr_syn_aggressive_r,ridge,False,4,-0.0473095524056631
cbcl_scr_syn_aggressive_r,cpm,True,4,0.0439807673833522
cbcl_scr_syn_aggressive_r,cpm,False,4,0.0230354652034941
cbcl_scr_syn_aggressive_r,svr,True,4,-0.0131525568018191
cbcl_scr_syn_aggressive_r,svr,False,4,-0.038891504760511
cbcl_scr_syn_aggressive_r,rf,True,4,0.0619972245115554
cbcl_scr_syn_aggressive_r,rf,False,4,0.0179370160080673
age,ridge,True,4,0.2111151726715835
age,ridge,False,4,0.1586491038697466
age,cpm,True,4,0.1926641283023384
age,cpm,False,4,0.1558237340091889
age,svr,True,4,0.2453904857488442
age,svr,False,4,0.1872612466776123
age,rf,True,4,0.0902906613141992
age,rf,False,4,0.0995170080894083
mr,ridge,True,4,0.1610888146596429
mr,ridge,False,4,0.150122890470724
mr,cpm,True,4,0.1254155709298005
mr,cpm,False,4,0.1296653062242101
mr,svr,True,4,0.1628256316044655
mr,svr,False,4,0.1494338432382564
mr,rf,True,4,0.0936726816992278
mr,rf,False,4,0.1034079356111557
attn,ridge,True,4,0.0580489954605943
attn,ridge,False,4,0.0434652491190483
attn,cpm,True,4,0.0870916638172777
attn,cpm,False,4,0.0790432118141587
attn,svr,True,4,0.0754729674143941
attn,svr,False,4,0.0634883497212396
attn,rf,True,4,0.0756901367422353
attn,rf,False,4,0.0257831765158875
cbcl_scr_syn_anxdep_r,ridge,True,5,0.0121342508540369
cbcl_scr_syn_anxdep_r,ridge,False,5,-0.02679032384669
cbcl_scr_syn_anxdep_r,cpm,True,5,-0.0157518602653173
cbcl_scr_syn_anxdep_r,cpm,False,5,-0.0502677183439553
cbcl_scr_syn_anxdep_r,svr,True,5,0.0030724612221163
cbcl_scr_syn_anxdep_r,svr,False,5,-0.0447269143676589
cbcl_scr_syn_anxdep_r,rf,True,5,0.0133345234232868
cbcl_scr_syn_anxdep_r,rf,False,5,-0.0383941227487182
cbcl_scr_syn_internal_r,ridge,True,5,-0.0063565192847103
cbcl_scr_syn_internal_r,ridge,False,5,-0.0549397398647747
cbcl_scr_syn_internal_r,cpm,True,5,0.0421313141963033
cbcl_scr_syn_internal_r,cpm,False,5,0.0037246194817816
cbcl_scr_syn_internal_r,svr,True,5,-0.006744393250644
cbcl_scr_syn_internal_r,svr,False,5,-0.0587419617357764
cbcl_scr_syn_internal_r,rf,True,5,0.0810381604496083
cbcl_scr_syn_internal_r,rf,False,5,-0.0079548608918951
cbcl_scr_syn_external_r,ridge,True,5,0.0143957381453163
cbcl_scr_syn_external_r,ridge,False,5,-0.0076561919438195
