pheno,dataset,seed,leakage_type,r,q2,r_yp
mr,pnc,27.0,leak_covars,0.2588488269959432,0.03858672798401097,0.9851489481397703
attn,pnc,46.0,leak_covars,-0.016900329157497257,-0.1675726172350842,0.9666977384678154
age,pnc,55.0,leak_covars,0.6308691796067855,0.39431695803880873,0.9974593013744596
attn,hbn,30.0,leak_covars,0.027139692259572044,-0.12748019155204382,0.9729941500555582
mr,pnc,4.0,leak_covars,0.27072659722963316,0.045518136668135534,0.9832481886242848
age,hbn,19.0,leak_covars,0.7463973011908382,0.5522097588281537,0.9966593685856459
attn,hcpd,31.0,leak_covars,-0.0001963255993195113,-0.12006850209941544,0.9430942014736454
attn,hcpd,81.0,leak_covars,-0.014966449142627323,-0.11806899179161756,0.9452816588989347
age,hbn,14.0,leak_covars,0.7448641460769607,0.5498648085692323,0.9971416116749281
mr,hbn,51.0,leak_covars,0.26023002804317047,0.030065289576316045,0.9570525414836674
age,hcpd,51.0,leak_covars,0.7791623292128512,0.6023206253907996,0.9951367384882678
mr,abcd,45.0,leak_covars,0.24843349425082698,0.058999584022007556,0.994804766865843
attn,hbn,28.0,leak_covars,0.008454912568156498,-0.14796055541254183,0.9722619379921759
age,hbn,95.0,leak_covars,0.7513755116981414,0.5589136986994436,0.9969695718246804
mr,hbn,84.0,leak_covars,0.2460256603960489,0.017100359719485092,0.9553639689007662
age,hcpd,86.0,leak_covars,0.7893535362811629,0.617121343923189,0.9958148873304837
attn,abcd,3.0,leak_covars,0.11216166166716005,-0.09197947117669103,0.9888368952889138
attn,hcpd,64.0,leak_covars,-0.044736849298821574,-0.1505411092348985,0.9534832792406209
mr,hbn,14.0,leak_covars,0.252278780839561,0.027361788981855817,0.947125976723931
age,hcpd,63.0,leak_covars,0.7907583944284288,0.6194349404771762,0.9958740635616264
mr,hcpd,47.0,leak_covars,0.24711883060445156,0.030129221511636106,0.9625865019139765
attn,hbn,39.0,leak_covars,0.007805571660091041,-0.1521106249785098,0.9735074701388227
age,hbn,26.0,leak_covars,0.7478568294696507,0.5542975181898773,0.9966494917084748
