pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp
age,hcpddti,1.0,leak_covars,0.7154331137098204,0.5116577436430245,0.9957651420139739,0.9933705512909979,0.9977965757351788
age,hcpddti,40.0,leak_covars,0.7185233737060757,0.5160454050196766,0.9988700628811027,0.9957476966690291,0.9991575382369436
attn,hcpddti,86.0,leak_covars,0.07724208358951205,-0.1161979104060531,0.9447695876212898,0.8135554013416609,0.9349619870955173
age,hcpddti,4.0,leak_covars,0.73434509264695,0.53894959746499,0.9983409886321143,0.9943721421034118,0.9987376849269467
attn,hcpddti,45.0,leak_covars,0.04987843567943669,-0.12903336329851234,0.9489859844257379,0.7977450529222273,0.9318560428722377
age,hcpddti,24.0,leak_covars,0.7171140295919358,0.5142021620010264,0.9974395933479568,0.9965409892770668,0.998798685312315
attn,hcpddti,93.0,leak_covars,0.09403441436929708,-0.09789963611468977,0.926859338204541,0.7924781732706514,0.9165072183033602
attn,hcpddti,99.0,leak_covars,0.048558074456667266,-0.1189601706550365,0.9421006257049136,0.8122570317859593,0.9287014530517947
attn,hcpddti,90.0,leak_covars,0.06238375405491057,-0.14499725002612518,0.9318837449822407,0.7695749440715883,0.8918637481378042
mr,hcpddti,8.0,leak_covars,0.29947284802320334,0.08881197942795571,0.9961734818934522,0.9929104477611941,0.9997369465670863
mr,hcpddti,53.0,leak_covars,0.38082336152584567,0.14439308391296868,0.994067619923249,0.9915449654112222,0.9996581425099313
mr,hcpddti,16.0,leak_covars,0.39940060560934854,0.1590979821163483,0.9969102823154631,0.989413988657845,0.9995315015730561
mr,hcpddti,57.0,leak_covars,0.30857175813171017,0.09489959215866983,0.9912946338276276,0.9903772132409546,0.9985999515301613
attn,hcpddti,78.0,leak_covars,-0.04588695460479183,-0.17898435309419036,0.9435847907183262,0.7931321540062435,0.9300429109521586
attn,hcpddti,0.0,leak_covars,0.10263915976664434,-0.08415027417230636,0.9285346351068399,0.8009731232622799,0.894416762481479
mr,hcpddti,47.0,leak_covars,0.3216479700404108,0.10329300236717742,0.9916160874254634,0.9908221797323136,0.9991968399238733
attn,hcpddti,64.0,leak_covars,0.05185970273593032,-0.10571571292768489,0.9328519309098572,0.7983529935455153,0.9285550422249349
