pheno,dataset,seed,leakage_type,r,q2,r_yp
attn,pnc,79.0,leak_covars,0.005751710622285002,-0.1975028910698673,0.9912334221532026
attn,abcd,50.0,leak_covars,0.02734732880742888,-0.006431625648684269,0.9981643240937096
age,abcd,94.0,leak_covars,0.08373315036435255,-0.001783209979121736,0.9996166375275658
mr,hcpd,94.0,leak_covars,0.23990745965701235,0.011239495708078029,0.9922606495178328
attn,hcpd,58.0,leak_covars,-0.039435472491313156,-0.26558947071287586,0.9849307283409702
mr,hbn,40.0,leak_covars,0.23360562099832988,0.02793527369289217,0.9948381272350911
attn,abcd,69.0,leak_covars,0.036112988387903236,-0.0042361843975247115,0.9978648605505269
mr,abcd,41.0,leak_covars,0.07048660079881665,0.003367433600268921,0.99973768893747
mr,abcd,4.0,leak_covars,0.06744841246370335,0.0026403596325836887,0.9997287893306774
age,hbn,40.0,leak_covars,0.4973018078220164,0.24662303187913492,0.999873847862202
age,pnc,50.0,leak_covars,0.34375111862733293,0.11677100492314285,0.9999231074930593
mr,pnc,73.0,leak_covars,0.2622003521301812,0.04555211347471422,0.9984061591316931
attn,pnc,17.0,leak_covars,0.0008651564692159191,-0.19299724258418438,0.9903561808768035
mr,hbn,64.0,leak_covars,0.2388874019673833,0.033365868100565965,0.9945614693592676
attn,hcpd,36.0,leak_covars,0.015154287989045863,-0.2224803724541251,0.9883098921952359
mr,abcd,92.0,leak_covars,0.069836223518836,0.0031837855582039776,0.9998070593816772
attn,pnc,15.0,leak_covars,0.025508251400250058,-0.18393082007578498,0.9895641719712921
attn,pnc,65.0,leak_covars,0.015227036514506655,-0.19096782656865652,0.991867632128836
age,pnc,12.0,leak_covars,0.34629529410217924,0.1187759060940865,0.9998671864505221
mr,hcpd,21.0,leak_covars,0.23101879826533825,0.007948380898359808,0.9954347173517064
attn,hcpd,23.0,leak_covars,-0.07931932910863383,-0.307752005049972,0.9882030056936669
attn,hbn,78.0,leak_covars,-0.05906193705678083,-0.2662785018384304,0.9912150258460555
mr,abcd,36.0,leak_covars,0.06769508252518619,0.00272836595148096,0.9997470715450556
attn,hcpd,49.0,leak_covars,0.0654094332717042,-0.15019454403356125,0.988899885621484
attn,hbn,45.0,leak_covars,-0.07213280275580838,-0.2765350031357856,0.9870375036368149
attn,abcd,28.0,leak_covars,0.03668974380511079,-0.0041702674255230665,0.9979561826466241
mr,hbn,1.0,leak_covars,0.24178324836245502,0.03433997625541019,0.9939805252352536
attn,hcpd,14.0,leak_covars,-0.028621257282615407,-0.27927980606652025,0.9877221756006862
attn,hcpd,39.0,leak_covars,0.016885386110305163,-0.19791754783824178,0.9849969068145512
age,hbn,84.0,leak_covars,0.5022932060715012,0.25168989662220986,0.9998424244956599
