pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp,spearman_network_feat
attn,hcpd,29.0,leak_covars,-0.05650049094589447,-0.27027312481368515,0.9262531709492249,0.9378340922589586,0.8392221228451511,0.9672193446698802
age,hcpd,34.0,leak_covars,0.7910806900165155,0.622919947174956,0.9545066507607853,0.9796397807361003,0.9835208683942498,0.9942455142186167
mr,hbn,45.0,leak_covars,0.22747467621150005,0.041775165441286344,0.9666419836151872,0.9275599128540305,0.9746961836914451,0.9915402516088426
age,hcpd,28.0,leak_covars,0.7788054434348924,0.6063839045377508,0.9175718935123307,0.983619344773791,0.9622974803875903,0.9929104887942988
mr,pnc,56.0,leak_covars,0.24293844489045838,0.022326260188964775,0.924174828739066,0.9613133112751336,0.9390458030612155,0.9942277866421607
mr,hcpd,17.0,leak_covars,0.20968588004499536,0.005061265165744566,0.9590763194706461,0.9215686274509803,0.9396287605262151,0.9833321307453642
attn,pnc,26.0,leak_covars,-0.007663623141991493,-0.21767732683271523,0.9498829026679937,0.9479396984924623,0.9192523556043868,0.9799408326719101
mr,abcd,87.0,leak_covars,0.0663403718635596,-0.022728310209332303,0.9586251247054344,0.9605911330049262,0.7690630601545714,0.9875349548602611
attn,abcd,91.0,leak_covars,0.04980549304130652,-0.025446313172770907,0.8556829656733013,0.9443938012762079,0.8164726835298362,0.9660387521022396
attn,pnc,79.0,leak_covars,-0.02923015052129116,-0.240173831991352,0.9720443569943208,0.9495394473368042,0.9505273234786774,0.9837647697099873
attn,abcd,50.0,leak_covars,0.03711439880614695,-0.016501973681968485,0.9746711020628942,0.9525944907110826,0.9776182235552728,0.9910524227008696
age,abcd,94.0,leak_covars,0.1198705978346335,-0.0013887070529927659,0.9848839798826239,0.9844806007509387,0.955664652445481,0.9952198005084187
mr,hcpd,94.0,leak_covars,0.17966768804471706,-0.02346479168311455,0.9610971871358313,0.9215735404660486,0.9449663430311518,0.9745486031275705
attn,hcpd,58.0,leak_covars,-0.05834254857308484,-0.3413306968186014,0.8807966397410766,0.9386138613861386,0.7630679411836367,0.9813846098344094
mr,hbn,40.0,leak_covars,0.21522441397490627,0.03175810951821123,0.9632808823615951,0.9242962558075977,0.9729419255844416,0.9930735930735933
